contributor_uuid,score
de68bbf8-46d7-45f0-9111-92e64ab9499a,0.5
f9143626-bfe0-4e69-b652-6d1525ab4eb0,0.5
85579cf2-e01c-45c5-b9e7-34b40467148d,0.5
00f548b7-6b63-4b47-828e-8e416b6ca0e2,0.25
95dc40d9-3710-47d7-abf0-24b825a1d0c5,0.5
bd786026-bad5-4fa8-9a3a-38ca03a16412,0.375
e1ae8875-a398-4dde-8f4e-4b21109784e3,0.4166666666666667
ea0c03d5-df91-40b0-8558-4b5cb433094e,0.6666666666666667
fed45769-aa61-4b8b-847e-a9c799acce15,0.5833333333333333
47f10cb0-4a56-4b77-ba40-5414b1332642,0.5
b633a457-b6d9-48c0-8b69-87cc725f470b,0.625
f3a07c88-a40c-4b3a-8cd2-b0a7477e88ef,0.5
e0834165-64cc-41e5-994f-9be97a16ef93,0.4375
41a6c6a7-a54f-483f-824e-5426826600e9,0.6
dd916dd6-c208-481f-9c28-c59b32347a46,0.6
781ba935-32d6-4915-b097-f68635c10460,0.5833333333333333
8cddd693-f0df-441c-9c1c-927902e76099,0.5833333333333333
0e4b8a3e-2714-4b5f-ba10-bb576aaa5cc6,0.75
419f3399-0646-43dd-aef8-ea9a8f901007,0.5
23338303-8192-4d70-8e03-508a7120d1c3,0.55
214e3374-4279-4748-80c8-ea8a76ad7cbc,0.55
77365456-b099-4d3b-84ad-eecc25742f4d,0.5
cffa52fe-b6e2-433e-ba12-f36225f8ec5c,0.5833333333333333
1119f9ca-0dce-4a9e-b71e-5983833e8bbe,0.5833333333333333
