article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,c2fbacef-f01c-4e5f-8726-484f35a9b017,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2185-DataHunt.csv.gz,True,bb5c9329-144f-4d11-b54f-ca30121028a4,7a0244e9-9173-4ac6-a3ee-d877a78545aa,Covid_Evidence2020_03_21,27ebbcb0,0,27ebbcb0-94fa-4477-8644-af3f6c9ea03b,"{""answer_text_list"": [""No"", ""No"", ""No""]}",3,2091,2308,"For COVID-19, the R0 is estimated to be 3.28, though studies are still ongoing and this number will probably change. This means that for herd immunity, about 70% of the UK population would need to be immune to COVID-1"
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,c2fbacef-f01c-4e5f-8726-484f35a9b017,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2185-DataHunt.csv.gz,True,bb5c9329-144f-4d11-b54f-ca30121028a4,7a0244e9-9173-4ac6-a3ee-d877a78545aa,Covid_Evidence2020_03_21,27ebbcb0,0,27ebbcb0-94fa-4477-8644-af3f6c9ea03b,"{""answer_text_list"": [""No"", ""No"", ""No""]}",3,2312,2501,Achieving herd immunity would require well over 47 million people to be infected in the UK. Current estimates are that COVID-19 has a 2.3% case-fatality rate and a 19% rate of severe diseas
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,c2fbacef-f01c-4e5f-8726-484f35a9b017,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2185-DataHunt.csv.gz,True,bb5c9329-144f-4d11-b54f-ca30121028a4,7a0244e9-9173-4ac6-a3ee-d877a78545aa,Covid_Evidence2020_03_21,27ebbcb0,0,27ebbcb0-94fa-4477-8644-af3f6c9ea03b,"{""answer_text_list"": [""No"", ""No"", ""No""]}",3,4117,4228,"This means that even in this unlikely \u201cbest case\u201d scenario we would still be looking at more than 236,000 death"
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,c2fbacef-f01c-4e5f-8726-484f35a9b017,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2185-DataHunt.csv.gz,True,bb5c9329-144f-4d11-b54f-ca30121028a4,25038cad-b145-453e-a2bb-bac991dfa51e,Covid_Evidence2020_03_21,73d8f381,0,73d8f381-e2b9-41fd-ac96-e17752b6c26a,"{""answer_text_list"": [""5: Middling difficulty""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,c2fbacef-f01c-4e5f-8726-484f35a9b017,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2185-DataHunt.csv.gz,True,bb5c9329-144f-4d11-b54f-ca30121028a4,5dfc6815-f004-4bde-92dd-8afd90550b4e,Covid_Evidence2020_03_21,8eab0dab,0,8eab0dab-e8d4-41ea-af54-5dea4d1e6964,"{""answer_text_list"": [""Much less likely""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,c2fbacef-f01c-4e5f-8726-484f35a9b017,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2185-DataHunt.csv.gz,True,bb5c9329-144f-4d11-b54f-ca30121028a4,5cffa37e-b537-4902-95fb-180c5ddee425,Covid_Evidence2020_03_21,b5c3c5d0,0,b5c3c5d0-4c59-4e26-8996-97cd64e29b93,"{""answer_text_list"": [""No causal claim made""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,c2fbacef-f01c-4e5f-8726-484f35a9b017,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2185-DataHunt.csv.gz,True,bb5c9329-144f-4d11-b54f-ca30121028a4,c5c73487-70a5-4770-b9cf-f430bbbbb93c,Covid_Evidence2020_03_21,d4696215,0,d4696215-f81b-46da-b965-b9377f68e6bb,"{""answer_text_list"": [""5: 50-50""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,c2fbacef-f01c-4e5f-8726-484f35a9b017,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2185-DataHunt.csv.gz,True,bb5c9329-144f-4d11-b54f-ca30121028a4,d82c1ee4-08c8-49bc-919c-97bae6553746,Covid_Evidence2020_03_21,e2e6a7d3,0,e2e6a7d3-ad12-4ba6-ab81-f7f73bc68a83,"{""answer_text_list"": [""No, not at all""]}",1,2137,2205,though studies are still ongoing and this number will probably chang
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,fa95a8ce-9242-4fcc-be4b-454cf875abe0,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2186-DataHunt.csv.gz,True,441e43ab-6be0-4a3a-820d-72f07efee748,9175a0e8-957f-48a1-935c-c1df20e39969,Covid_Evidence2020_03_21,1d96c31d,0,1d96c31d-db29-44c0-b9c3-24209075714d,"{""answer_text_list"": [""4""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,1fdbc90c-3c6f-4aad-841f-d00e706e7d7b,Covid_Evidencev1.IAA,fa95a8ce-9242-4fcc-be4b-454cf875abe0,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Evidencev1-Task-2186-DataHunt.csv.gz,True,441e43ab-6be0-4a3a-820d-72f07efee748,0b4437f7-d914-42b0-af17-caf581aac38e,Covid_Evidence2020_03_21,27ebbcb0,0,27ebbcb0-94fa-4477-8644-af3f6c9ea03b,"{""answer_text_list"": [""No""]}",0,0,0,
